"alt","comments","facebookUrl","images/0/thumb","images/1/thumb","images/2/thumb","isVideo","likes","link","pageId","postId","shares","text","thumb","time","timestamp","topLevelUrl","translatedText","url"
,"11","https://pt-br.facebook.com/Localiza/",,,,,"148","https://www.facebook.com/Localiza/photos/a.615314375176218/8687020348005540/?type=3","543362459038077","8687020981338810","4","","https://scontent.fosu2-2.fna.fbcdn.net/v/t39.30808-6/318347593_8687020341338874_2603152462689287335_n.jpg?stp=dst-jpg_p370x247&_nc_cat=1&ccb=1-7&_nc_sid=85a577&_nc_ohc=ZbrVb-KS2JcAX8d5hMw&_nc_ht=scontent.fosu2-2.fna&oh=00_AfAPSHiLXJ3xH4bPbLrudCIjffy-dxW7ReFW5Vd1oACoQA&oe=63BA4CFD","Wednesday, December 7, 2022 at 9:57 AM","1670435878000","https://www.facebook.com/543362459038077/posts/8687020981338810",,"https://www.facebook.com/Localiza/posts/8687020981338810:0"
,"11","https://pt-br.facebook.com/Localiza/",,,,"true","42",,"543362459038077","8649914445049464",,"Quem aí estava com saudades de #MelNaEstrada? 🙃 Vem comigo, que tem episódio bônus na área! 🎬✨ Eu e Mel Fronckowiak fomos até um lugar muito famoso por sua água verde-esmeralda. Esse destino tá entre os mais procurados pelos turistas em Minas Gerais. Sabe onde é? 🤔😎 ​ Vem com a gente pegar a estrada até Capitólio! Eu me arrisco a dizer que você vai se apaixonar por esse destino. 🚗☀️🚤 💦 Bora assistir? É só acessar vaipormim.com ou pelo link: https://bit.ly/3ATdfeb ​ #MelNaEstradaComLocaliza #ViajePeloBrasil #Capitólio #MinasGerais","https://scontent.fosu2-1.fna.fbcdn.net/v/t15.5256-10/317666921_8230717506999140_8610263615362877526_n.jpg?stp=dst-jpg_p526x296&_nc_cat=100&ccb=1-7&_nc_sid=08861d&_nc_ohc=LLI_sV79LrEAX_HwYsU&_nc_ht=scontent.fosu2-1.fna&oh=00_AfDhalVqZY4ECDVQlsYTKyBJJEf31DMcQuDi6lWEHeEKqQ&oe=63BB02E3","Tuesday, November 29, 2022 at 8:57 AM","1669741067000","https://www.facebook.com/543362459038077/posts/8649914445049464",,"https://www.facebook.com/Localiza/posts/pfbid02CCmUhyAxZsw729pHVMBB6MjX5hNAvtnR2AgVYsFNNhSgcrprKz2hStxgYayEwcgNl"
,"200","https://pt-br.facebook.com/Localiza/",,,,"true","2100",,"543362459038077","8630780716962837","290","Você conhece a Chapada dos Veadeiros? A bióloga e ambientalista Maysa Santoro, em expedição pela região, nos apresenta este destino do ecoturismo sob um novo olhar.​ ​ Vem saber tudo sobre o Cerrado brasileiro — a savana mais rica do mundo — em vaipormim.com ou pelo link: https://bit.ly/FBCerrado 💚​ ​ #SintaAViagem #Localiza #TurismoAventura #ChapadadosVeadeiros","https://scontent.fosu2-2.fna.fbcdn.net/v/t15.5256-10/316891069_8342795915792575_3273112724646957851_n.jpg?stp=dst-jpg_p526x296&_nc_cat=101&ccb=1-7&_nc_sid=08861d&_nc_ohc=bbziGQBimy0AX9lXjCC&_nc_ht=scontent.fosu2-2.fna&oh=00_AfAA7Km9k1t8RklKAq5opqbGWT4tobK8ZU3rPUucdwKZaQ&oe=63BAFFF8","Friday, November 25, 2022 at 6:13 AM","1669385639000","https://www.facebook.com/543362459038077/posts/8630780716962837",,"https://www.facebook.com/Localiza/posts/pfbid0r2oNA2LUnTeiginuvLezefxMK3hxFG4DeDkg29KRELE8UA74ieQWv74Aaq3uEZCsl"
,"72","https://pt-br.facebook.com/Localiza/",,,,"true","973",,"543362459038077","8621560824551493","62","Essa rota dos sonhos pode cruzar o seu caminho. 🚙🇺🇸 ​ Viajar pelos Estados Unidos ficou ainda mais fácil com a Localiza na Gringa!​ ​ Te inspirar a viver novas experiências é a nossa missão. 💚​... ​ Vem saber mais sobre a famosa Route 66 e outras rotas para desbravar os EUA em vaipormim.com ou no link: https://bit.ly/FBRota66 ​ Uma parceria com a @enterprise.​ ​ #LocalizaNaGringa #Parceria #ViajePeloMundo #Rota66 #EstadosUnidos ","https://scontent.fosu2-2.fna.fbcdn.net/v/t15.5256-10/316885352_1040865280647265_3751969113613370929_n.jpg?stp=dst-jpg_p526x296&_nc_cat=101&ccb=1-7&_nc_sid=08861d&_nc_ohc=PxhfhJZcQxUAX8B8mWD&_nc_ht=scontent.fosu2-2.fna&oh=00_AfAPUEVgzw_bBF6fzA8Q7HzCdMu4H2N89nD_QfkcjRY2GQ&oe=63BA1277","Wednesday, November 23, 2022 at 7:00 AM","1669215636000","https://www.facebook.com/543362459038077/posts/8621560824551493",,"https://www.facebook.com/Localiza/posts/pfbid02Ku7JEGmrpGCbMCU7ude87m4fVhmw7AEpMj2ceaFgH6SCdHNJX5SiJYe9a27vsG43l"
,"86","https://pt-br.facebook.com/Localiza/",,,,"true","683",,"543362459038077","8613231532051089","49","Você sabia que, além de clima quente o ano todo e praias lindas, Miami tem Localiza? 🏖️🚘💚​ Para deixar a sua viagem internacional ainda melhor, temos uma parceria com a @enterprise. Agora você pode planejar a sua rota pelos EUA contando com a confiança e a segurança que já tá acostumado. Você e Localiza na Gringa! 🌎 ​ Confira em localiza.com ou pelo link: https://bit.ly/EUA-Enterprise ... #LocalizaNaGringa #Parceria #ViajePeloMundo #Miami #EUA ","https://scontent.fosu2-2.fna.fbcdn.net/v/t15.5256-10/316609624_1280117922787626_7523126525376555256_n.jpg?stp=dst-jpg_p526x296&_nc_cat=104&ccb=1-7&_nc_sid=08861d&_nc_ohc=wogPYBBAeCQAX9lf_4x&_nc_ht=scontent.fosu2-2.fna&oh=00_AfBCNPEsI8ntewmDjyl0zlLBQ2kCXXd5-N4vYJ8prvK-jA&oe=63BA0316","Monday, November 21, 2022 at 12:52 PM","1669063960000","https://www.facebook.com/543362459038077/posts/8613231532051089","Did you know that in addition to year round warm weather and beautiful beaches, Miami has Locations? 🏖️🚘💚

To make your international travel even better, we have partnered with @enterprise. Now you can plan your route around the USA with the confidence and safety you are used to. You and Locate in Gringa! 🌎

Check it out at https://bit.ly/EUA-Enterprise or via the link: localiza.com

#LocalizaNaGringa #Parceria #ViajePeloMundo #Miami #EUA","https://www.facebook.com/Localiza/posts/pfbid02oGH4sAro7PvRGmL4ee644FMoni3wEDPVUMni1a2HNFGU5wvKPBrNrwNkDqwDAtdl"
,"16","https://pt-br.facebook.com/Localiza/",,,,"true","37",,"543362459038077","8560372514003658","1","O Caribe brasileiro na Floresta Amazônica. Assim é conhecido o destino do próximo episódio da nossa #ExpediçãoAmazônia. Eu e Ricardo Martins fomos até Alter do Chão, no Pará, e encontramos belas praias de água doce, lendas da floresta, árvores gigantescas e gastronomia com vitória-régia. 🚗🏖️🌳​ Quer saber mais? É só acessar vaipormim.com ou clique no link: https://bit.ly/3th6Yoh ​ #ExpediçãoAmazônia #Pará #AlterdoChão","https://scontent-ord5-1.xx.fbcdn.net/v/t15.5256-10/315104273_693380282349434_6964837757551387965_n.jpg?stp=dst-jpg_p526x296&_nc_cat=105&ccb=1-7&_nc_sid=08861d&_nc_ohc=QEY7u3r2DEQAX9VfPNM&_nc_ht=scontent-ord5-1.xx&oh=00_AfAb_xfi_gjeXfXySyNV6ZdvAlSHnCc0QEsFRAg5HChZag&oe=63B9D045","Thursday, November 10, 2022 at 10:22 AM","1668104540000","https://www.facebook.com/543362459038077/posts/8560372514003658",,"https://www.facebook.com/Localiza/posts/pfbid02uoYf1WXo3FgfZGimpsrTCq8ocXF8CfaazZFdwU9kLmVEhLeJbrhYTGgDgBtcBh3ml"
,"10","https://pt-br.facebook.com/Localiza/",,,,"true","51",,"543362459038077","8550917888282454","3","Destinos que parecem ter saído de um filme? Temos! A Serra e as praias do Sul Catarinense têm paisagens lindas e atrações imperdíveis. Difícil mesmo é decidir qual conhecer primeiro. Vem conferir nossas dicas lá em vaipomim.com ou pelo link: https://bit.ly/SerraPraiaSC 🚗 ⛰️😍​ #DoSeuLadoLocaliza #ViajePeloBrasil #SantaCatarina #Serra #Praia","https://scontent-ord5-1.xx.fbcdn.net/v/t15.5256-10/314914534_436289978665717_8710554508756551040_n.jpg?stp=dst-jpg_p526x296&_nc_cat=104&ccb=1-7&_nc_sid=08861d&_nc_ohc=fLGG_Y_SWoMAX9nNxF4&_nc_ht=scontent-ord5-1.xx&oh=00_AfCL2nQ_C9Wtm7ivL3aKMGBSNFD2dpJ-E6vctUDGKtQerw&oe=63BA9F1F","Tuesday, November 8, 2022 at 10:31 AM","1667932311000","https://www.facebook.com/543362459038077/posts/8550917888282454",,"https://www.facebook.com/Localiza/posts/pfbid0962Tdmz7YkiZzATqeaX3oQwRkBx495SxjPmp2FZAnBCX2A7NKkS8tc59tzMmNLdJl"
,"106","https://pt-br.facebook.com/Localiza/",,,,"true","1100",,"543362459038077","8544898822217694","203","Berço do Velho Chico, o Parque Nacional da Serra da Canastra foi criado para preservar a nascente do São Francisco. O rio é a fonte que mantém a região fértil o ano inteiro. O resultado? Um dos mais belos lugares do Brasil! 💚​​ 👉 Tá a fim de conhecer esse lugar incrível? Então se liga no vaipormim.com, ou no link https://bit.ly/SerradaCanastra, e descubra tudo sobre a região da Serra da Canastra, em Minas Gerais!​ #LocalizaNoSeuCaminho #VouDeLocaliza #IssoÉBrasil #SerradaCanastra","https://scontent-ord5-1.xx.fbcdn.net/v/t15.5256-10/313692655_686592139347285_4887822645019550159_n.jpg?stp=dst-jpg_p526x296&_nc_cat=105&ccb=1-7&_nc_sid=08861d&_nc_ohc=IEN_oZXRIGoAX-VSUkS&_nc_ht=scontent-ord5-1.xx&oh=00_AfCJSY5WRocBaQutkqaB5C-a7lWDVDI9S_BOJQH_8hfKdg&oe=63BB77EF","Monday, November 7, 2022 at 6:10 AM","1667830209000","https://www.facebook.com/543362459038077/posts/8544898822217694",,"https://www.facebook.com/Localiza/posts/pfbid0TLGj1dNFTByHT6unWbov6oUtrLM2Pwx1ohQYdv6CLJgq8Fy2cxEFREb2uuSoPCoMl"
,"5","https://pt-br.facebook.com/Localiza/",,,,"true","32",,"543362459038077","8526833647357545","3","Na aventura de hoje, fomos com a nossa colaboradora Jessica Backes para um destino que conta uma história que faz parte da memória afetiva de todos os paranaenses: a Bala de Banana Antonina. 💚​ ​ Além disso, a gente fez um passeio delicioso em Antonina e Morretes (PR), e amamos cada detalhe desses municípios litorâneos, com um gostinho de serra pelo caminho. E aí, bora conferir o episódio completo? ✨ Vai por mim, ele está delicioso! 😋​ ​ Acesse o link https://bit.ly/3WtyWKP o...u vaipormim.com e descubra tudo que aprontamos nessa viagem! ​ ​ #ViajeComLocaliza #Paraná #Brasil ","https://scontent-ord5-1.xx.fbcdn.net/v/t15.5256-10/313932385_420386783637910_2621067920707982048_n.jpg?stp=dst-jpg_p526x296&_nc_cat=100&ccb=1-7&_nc_sid=08861d&_nc_ohc=VxxKkAdvdaQAX8DW43y&_nc_ht=scontent-ord5-1.xx&oh=00_AfABq1QqJfY7JkGLpMbSDdSmBYH2y_nj2G4K2JPwFjU4pg&oe=63BAEF79","Thursday, November 3, 2022 at 10:36 AM","1667497004000","https://www.facebook.com/543362459038077/posts/8526833647357545",,"https://www.facebook.com/Localiza/posts/pfbid028w52DAqXq9jUmJAyRrftMmpYnbMUSCzEhuDkwyYpceiP48JpubN66BDyioHeikB5l"
,"76","https://pt-br.facebook.com/Localiza/",,,,"true","730",,"543362459038077","8517056608335249","81","Aproveitamos essa época mágica do ano e reunimos, com o casal do Num Pulo, dicas especiais para você se apaixonar por Gramado e Canela. Afinal, o maior evento natalino do Brasil já começou: Natal Luz! 🌟 Acesse em vaipormim.com ou pelo link https://bit.ly/Dicas-Gramado e saiba mais sobre esses destinos imperdíveis. 💚​ #DicasLocaliza #Gramado #Canela #VoudeLocaliza","https://scontent-ord5-1.xx.fbcdn.net/v/t15.5256-10/312706184_538089124993111_5825351450861284876_n.jpg?stp=dst-jpg_p526x296&_nc_cat=106&ccb=1-7&_nc_sid=08861d&_nc_ohc=cZvueALgN00AX_RQaD3&_nc_ht=scontent-ord5-1.xx&oh=00_AfCK-jbXMOxd22QPn64Vu-r6Zjk3DUzDgiVUS6gGzuQKPQ&oe=63B9E6D6","Tuesday, November 1, 2022 at 7:22 AM","1667312563000","https://www.facebook.com/543362459038077/posts/8517056608335249",,"https://www.facebook.com/Localiza/posts/pfbid02YZf4Qem6sR8gmfotUCwPWfTnuAzmB3apr6r6JRZUipe1oDY4hcV2NZiCAE2DZanVl"
,"7","https://pt-br.facebook.com/Localiza/",,,,"true","110",,,,"6","E chegou a hora de ficar por dentro de tudo o que rolou “por trás das câmeras” no making of da #RotaSustentável. 🙃🎬 Vem, que eu e Mel Fronckowiak garantimos muitas risadas, diversão e aquele gostinho de saudade.  💚​ Bora conferir tudo o que rolou nos bastidores? 🚗 Vai por mim, que está demais! 😉 Confira no vaipormim.com, ou no link: https://bit.ly/3DBRCRd.​ #MelNaEstradaComLocaliza #ViajePeloBrasil","https://scontent-lga3-1.xx.fbcdn.net/v/t15.5256-10/312911966_858434568511132_8888635205671518879_n.jpg?stp=dst-jpg_p526x296&_nc_cat=105&ccb=1-7&_nc_sid=08861d&_nc_ohc=cDqeygON2FMAX-BSTMC&_nc_ht=scontent-lga3-1.xx&oh=00_AfCfMFgxlqGKtgHL0aVoXzq3Kf9dGDNqICXMoLWARh_fnA&oe=63BADD32","Thursday, October 27, 2022 at 10:16 AM","1666890999",,,"https://www.facebook.com/Localiza/posts/pfbid02a1K2CfFNAM3todNkVck5m1JRTSSgTqPSvQ1QzhnZ3Z4rFS5b3NTnqLn49QubSGgTl"
